date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-08-20,sh.600000,10.5600,10.5700,10.4300,10.4700,10.5800,53539028,559975457.1000,3,0.190500,1,-1.039700,5.137959,1.567718,16.352723,0.599349,0
2020-08-21,sh.600000,10.5600,10.5600,10.4500,10.5000,10.4700,31451520,329790600.6200,3,0.111900,1,0.286500,5.152681,1.572211,16.399579,0.601066,0
2020-08-24,sh.600000,10.5700,10.5700,10.4400,10.4600,10.5000,38982822,408922474.8500,3,0.138700,1,-0.381000,5.133051,1.566221,16.337104,0.598776,0
2020-08-25,sh.600000,10.4800,10.5100,10.4100,10.4500,10.4600,37897250,396122405.2800,3,0.134800,1,-0.095600,5.128144,1.564724,16.321485,0.598204,0
2020-08-26,sh.600000,10.4400,10.4500,10.3500,10.3700,10.4500,39278732,408174291.9000,3,0.139800,1,-0.765600,5.088885,1.552745,16.196536,0.593624,0
2020-08-27,sh.600000,10.3800,10.4000,10.3200,10.3500,10.3700,30462492,315213297.1200,3,0.108400,1,-0.192900,5.079071,1.549750,16.165299,0.592480,0
2020-08-28,sh.600000,10.3500,10.4600,10.3100,10.4600,10.3500,53131203,552429110.6800,3,0.189100,1,1.062800,5.133051,1.566221,16.337104,0.598776,0
2020-08-31,sh.600000,10.4600,10.5100,10.3200,10.3600,10.4600,80037356,835524366.2700,3,0.284800,1,-0.956000,5.453515,1.563467,2.300995,0.605517,0
2020-09-01,sh.600000,10.3100,10.3600,10.2600,10.2900,10.3600,53931233,555922098.7400,3,0.191900,1,-0.675700,5.416669,1.552903,2.285448,0.601425,0
2020-09-02,sh.600000,10.2800,10.2900,10.1200,10.1800,10.2900,56787081,578763478.8800,3,0.202100,1,-1.069000,5.358764,1.536303,2.261017,0.594996,0
2020-09-03,sh.600000,10.1900,10.2300,10.1100,10.1200,10.1800,40832020,414701608.0100,3,0.145300,1,-0.589400,5.327180,1.527248,2.247691,0.591489,0
2020-09-04,sh.600000,10.0700,10.1500,10.0100,10.0700,10.1200,38443982,387141417.9400,3,0.131000,1,-0.494100,5.300860,1.519702,2.236586,0.588567,0
2020-09-07,sh.600000,10.0700,10.1600,10.0100,10.0100,10.0700,58564585,589509231.0200,3,0.199500,1,-0.595800,5.269276,1.510647,2.223259,0.585060,0
2020-09-08,sh.600000,10.0700,10.0900,10.0100,10.0500,10.0100,52972540,532346432.8700,3,0.180500,1,0.399600,5.290332,1.516684,2.232143,0.587398,0
2020-09-09,sh.600000,10.0100,10.0800,10.0000,10.0100,10.0500,49418500,496009217.1600,3,0.168400,1,-0.398000,5.269276,1.510647,2.223259,0.585060,0
2020-09-10,sh.600000,10.0600,10.0600,9.9400,9.9600,10.0100,54169916,540727380.9400,3,0.184600,1,-0.499500,5.242956,1.503102,2.212154,0.582138,0
2020-09-11,sh.600000,9.9500,9.9600,9.8500,9.9200,9.9600,49947642,494619679.9000,3,0.170200,1,-0.401600,5.221900,1.497065,2.203270,0.579800,0
